Date,Region,Manufacturer,Measure,Frequency,Value,DateLabel,DateKey
2023-02-28,European Union (EU),Opel/Vauxhall,UNITS,M,27911,2023-02,1677542400000
2023-02-28,European Union (EU),Opel/Vauxhall,YTD,M,27911,2023-02,1677542400000
2023-02-28,European Union (EU),Peugeot,TTM,M,50196,2023-02,1677542400000
2023-02-28,European Union (EU),Peugeot,UNITS,M,50196,2023-02,1677542400000
2023-02-28,European Union (EU),Peugeot,YTD,M,50196,2023-02,1677542400000
2023-02-28,European Union (EU),Porsche,TTM,M,5570,2023-02,1677542400000
2023-02-28,European Union (EU),Porsche,UNITS,M,5570,2023-02,1677542400000
2023-02-28,European Union (EU),Porsche,YTD,M,5570,2023-02,1677542400000
2023-02-28,European Union (EU),Renault,TTM,M,44259,2023-02,1677542400000
2023-02-28,European Union (EU),Renault,UNITS,M,44259,2023-02,1677542400000
2023-02-28,European Union (EU),Renault,YTD,M,44259,2023-02,1677542400000
2023-02-28,European Union (EU),Renault Group,TTM,M,86725,2023-02,1677542400000
2023-02-28,European Union (EU),Renault Group,UNITS,M,86725,2023-02,1677542400000
2023-02-28,European Union (EU),Renault Group,YTD,M,86725,2023-02,1677542400000
2023-02-28,European Union (EU),SAIC Motor,TTM,M,6520,2023-02,1677542400000
2023-02-28,European Union (EU),SAIC Motor,UNITS,M,6520,2023-02,1677542400000
2023-02-28,European Union (EU),SAIC Motor,YTD,M,6520,2023-02,1677542400000
2023-02-28,European Union (EU),Seat,TTM,M,18537,2023-02,1677542400000
2023-02-28,European Union (EU),Seat,UNITS,M,18537,2023-02,1677542400000
2023-02-28,European Union (EU),Seat,YTD,M,18537,2023-02,1677542400000
2023-02-28,European Union (EU),Skoda,TTM,M,44993,2023-02,1677542400000
2023-02-28,European Union (EU),Skoda,UNITS,M,44993,2023-02,1677542400000
2023-02-28,European Union (EU),Skoda,YTD,M,44993,2023-02,1677542400000
2023-02-28,European Union (EU),Smart,TTM,M,1432,2023-02,1677542400000
2023-02-28,European Union (EU),Smart,UNITS,M,1432,2023-02,1677542400000
2023-02-28,European Union (EU),Smart,YTD,M,1432,2023-02,1677542400000
2023-02-28,European Union (EU),Stellantis,TTM,M,153862,2023-02,1677542400000
2023-02-28,European Union (EU),Stellantis,UNITS,M,153862,2023-02,1677542400000
2023-02-28,European Union (EU),Stellantis,YTD,M,153862,2023-02,1677542400000
2023-02-28,European Union (EU),Suzuki,TTM,M,10720,2023-02,1677542400000
2023-02-28,European Union (EU),Suzuki,UNITS,M,10720,2023-02,1677542400000
2023-02-28,European Union (EU),Suzuki,YTD,M,10720,2023-02,1677542400000
